brand,category,description,gender,id,image,name,numOfferPercent,offer,offerPercent,price,review
Nike,Sports Shoes,Elevate your performance with Nike. These Air Zoom Century shoes for men offer both comfort and support for your athletic endeavors.,Men,1636,http://assets.myntassets.com/v1/images/style/properties/7c80fca789c5c1863a4080d7ed57acf0_images.jpg,Nike Men Air Zoom Century Shoes,0,FALSE,,6699,3.4
Nike,Sports Shoes,Make a statement on the field with Nike. These white cricket shoes for men offer both style and functionality for your game.,Men,1637,http://assets.myntassets.com/v1/images/style/properties/0ac13b20762f7542baadcb2472855437_images.jpg,Nike Men White Cricket Shoes,0,FALSE,,2599,4.5
Reebok,Sports Shoes,Elevate your look with Reebok. These Ventilator Ubiq shoes for men offer both style and comfort for your everyday wear.,Men,1653,http://assets.myntassets.com/v1/images/style/properties/349e9cdd07258c3f4254065dcad69c3e_images.jpg,Reebok Men's Ventilator Ubiq Shoe,0,FALSE,,8049,4.1
Reebok,Sports Shoes,Step into performance with Reebok. These Frisker LP shoes for men offer both functionality and style for your active pursuits.,Men,1654,http://assets.myntassets.com/v1/images/style/properties/271493f761fcb4583542bad929fb3d99_images.jpg,Reebok Men's Frisker LP Shoe,0,FALSE,,2649,4.3
Nike,Sports Shoes,Elevate your performance with Nike. These Air Impetus shoes for men offer both comfort and style for your active lifestyle.,Men,1831,http://assets.myntassets.com/v1/images/style/properties/2b7f6813cc0aebb2e517ddee5cf57830_images.jpg,Nike Men's Air Impetus Shoe,0,FALSE,,6449,1.3
Nike,Sports Shoes,Step into sleek style with Nike. These Air Visi Sleek shoes offer both versatility and comfort for your everyday wear.,Men,1836,http://assets.myntassets.com/v1/images/style/properties/cae015b083e7581db36c6df436b7ef80_images.jpg,Nike Air Visi Sleek Shoes,0,FALSE,,2449,3.8
Puma,Sandals,Step into adventure with Puma. These navy blue Trek floaters for men offer both style and comfort for your outdoor escapades.,Men,2211,http://assets.myntassets.com/v1/images/style/properties/489285fce42ff6b4a5d6be37c26a971d_images.jpg,Puma Men Trek Navy Blue Floater,0,FALSE,,4999,3.8
Puma,Sandals,Elevate your style with Puma. These black F1 sandals for men offer both versatility and comfort for your everyday wear.,Men,2218,http://assets.myntassets.com/v1/images/style/properties/c0d7bee21dcc124c3254cfda13193d7f_images.jpg,Puma Men F1 Black Sandal,0,FALSE,,1049,3.8
ADIDAS,Casual Shoes,Elevate your style with ADIDAS. Step out in confidence wearing these sleek black shoes designed with men's comfort in mind.,Men,2219,http://assets.myntassets.com/v1/images/style/properties/11638bf2032ce289f91e53f6696594ed_images.jpg,ADIDAS Men's Black Shoe,0,FALSE,,5099,4
Puma,Sandals,Step into comfort with Puma. These black Carbon sandals for men offer both style and functionality for your casual outings.,Men,2220,http://assets.myntassets.com/v1/images/style/properties/c7292fc1fcc934dd9a693a136640bd47_images.jpg,Puma Men Carbon Black Sandal,0,FALSE,,7499,3.2
Puma,Sandals,Elevate your look with Puma. These grey Gypsy sandals for men offer both comfort and style for your everyday wear.,Men,2227,http://assets.myntassets.com/v1/images/style/properties/c691cbf2c611b9e0f9af6d11ef2046af_images.jpg,Puma Men Gypsy Grey Sandal,0,FALSE,,8499,3.7
Redtape,Casual Shoes,Step into versatility with Red Tape. These black semi-casual shoes for men offer both style and functionality for your daily activities.,Men,2399,http://assets.myntassets.com/v1/images/style/properties/0eac399dea02f88af3e4775f38a8924b_images.jpg,Red Tape Black Men's Semi Casual Shoe,0,FALSE,,1749,4
Nike,Sports Shoes,Make a statement with Nike. These blue LunarFly shoes for men offer both style and functionality for your active lifestyle.,Men,2477,http://assets.myntassets.com/v1/images/style/properties/2aaec62ff9756dab42e78315b35505e5_images.jpg,Nike Men's LunarFly Blue Shoe,0,FALSE,,7649,3.8
Carlton,Heels,Step into sophistication with Carlton London. These stylish black flats for women offer both elegance and comfort for any occasion.,Women,2610,http://assets.myntassets.com/v1/images/style/properties/938912f5e6e0e4ec1b3c75c556410768_images.jpg,Carlton London Women Stylish Black Flats,0,FALSE,,2249,4.4
Carlton,Heels,"Shine bright with Carlton London. These stylish gold flats for women add a touch of glamour to any outfit, while providing all-day comfort.",Women,2611,http://assets.myntassets.com/v1/images/style/properties/aa9703a664cfc1493cc14a0eab2af64b_images.jpg,Carlton London Women Stylish Gold Flats,0,FALSE,,3749,3.8
Carlton,Flats,Elevate your look with Carlton London. These gold wedge sandals for women offer both style and support for your summer adventures.,Women,2616,http://assets.myntassets.com/v1/images/style/properties/9dc47ec74ce6e5a62d67cbcdbd89898d_images.jpg,Carlton London Women Gold Wedge Sandal,0,FALSE,,6549,3.5
Carlton,Flats,Step into shimmer with Carlton London. These silver wedge sandals for women offer both elegance and comfort for your warm-weather outings.,Women,2618,http://assets.myntassets.com/v1/images/style/properties/1133e704c0d02e19ac7b09685788aa40_images.jpg,Carlton London Women Silver Wedge Sandal,0,FALSE,,8249,3.2
Carlton,Flats,Make a statement with Carlton London. These red wedge sandals for women add a pop of color to your ensemble while providing stylish comfort.,Women,2626,http://assets.myntassets.com/v1/images/style/properties/ff791dc3bb5a4fba08b20d10e3918814_images.jpg,Carlton London Women Red Wedge Sandal,0,FALSE,,7299,4.9
Carlton,Flats,Embrace sophistication with Carlton London. These silver wedge sandals for women offer both style and stability for your chic summer look.,Women,2627,http://assets.myntassets.com/v1/images/style/properties/a2a3d03e64b5041ab052d5a6b10d282a_images.jpg,Carlton London Women Wedge Silver Sandal,0,FALSE,,1149,3.8
